"CubeId";"zimoma"
"PublishingDate";"2023-04-03 14:30"

"Date";"D0";"Value"
"1976-12";"EG3M";
"1976-12";"3M0";
"1976-12";"SOFR";
"1976-12";"3M1";
"1976-12";"TONA";
"1976-12";"3M2";
"1976-12";"SONIA";
"1976-12";"3M3";
"1976-12";"ESTR";
"1976-12";"EURIBOR";
"1976-12";"3M4";
"1977-01";"SARON";
"1977-01";"1TGT";"0"
"1977-01";"EG3M";
"1977-01";"3M0";
"1977-01";"SOFR";
"1977-01";"3M1";
"1977-01";"TONA";
"1977-01";"3M2";
"1977-01";"SONIA";
"1977-01";"3M3";
"1977-01";"ESTR";
"1977-01";"EURIBOR";
"1977-01";"3M4";
"1977-02";"SARON";
"1977-02";"1TGT";"0.125"
"1977-02";"EG3M";
"1977-02";"3M0";
"1977-02";"SOFR";
"1977-02";"3M1";
"1977-02";"TONA";
"1977-02";"3M2";
"1977-02";"SONIA";
"1977-02";"3M3";
"1977-02";"ESTR";
"1977-02";"EURIBOR";
"1977-02";"3M4";
"1977-03";"SARON";
"1977-03";"1TGT";"0"
"1977-03";"EG3M";
"1977-03";"3M0";
"1977-03";"SOFR";
"1977-03";"3M1";
"1977-03";"TONA";
"1977-03";"3M2";
"1977-03";"SONIA";
"1977-03";"3M3";
"1977-03";"ESTR";
"1977-03";"EURIBOR";
"1977-03";"3M4";
"1977-04";"SARON";
"1977-04";"1TGT";"3.5"
"1977-04";"EG3M";
"1977-04";"3M0";
"1977-04";"SOFR";
"1977-04";"3M1";
"1977-04";"TONA";
"1977-04";"3M2";
"1977-04";"SONIA";
"1977-04";"3M3";
"1977-04";"ESTR";
"1977-04";"EURIBOR";
"1977-04";"3M4";
"1977-05";"SARON";
"1977-05";"1TGT";"1.5"
"1977-05";"EG3M";
"1977-05";"3M0";
"1977-05";"SOFR";
"1977-05";"3M1";
"1977-05";"TONA";
"1977-05";"3M2";
"1977-05";"SONIA";
"1977-05";"3M3";
"1977-05";"ESTR";
"1977-05";"EURIBOR";
"1977-05";"3M4";
"1977-06";"SARON";
"1977-06";"1TGT";"1"
"1977-06";"EG3M";
"1977-06";"3M0";
"1977-06";"SOFR";
"1977-06";"3M1";
"1977-06";"TONA";
"1977-06";"3M2";
"1977-06";"SONIA";
"1977-06";"3M3";
"1977-06";"ESTR";
"1977-06";"EURIBOR";
"1977-06";"3M4";
"1977-07";"SARON";
"1977-07";"1TGT";"1"
"1977-07";"EG3M";
"1977-07";"3M0";
"1977-07";"SOFR";
"1977-07";"3M1";
"1977-07";"TONA";
"1977-07";"3M2";
"1977-07";"SONIA";
"1977-07";"3M3";
"1977-07";"ESTR";
